TYPE	CORPUS	TEXTCODE	original_arabish	CODE	original_WORDS	original_TOKEN	POS	original_LEMMA	nota radice	GOVERNORATE	original_GOVERNORATE	AGE_RANGE	GENDER
facebook	CJs	20150411	abyedh	arabizi	ابيض	ابيض	ADJ	ابيض	بيض	/	/	35-50	F
facebook	CJs	20150411	mer7i	arabizi	مرحي	مرحي	ADJ	مرحي	مرح	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	mi7kar	arabizi	محكار	محكار	NOUN	محكار	حكر	/	/	35-50	F
facebook	CJs	20150411	3	arabizi	3	3	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	mgharef	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	غرف	/	/	35-50	F
facebook	CJs	20150411	sokir	arabizi	سكر	سكر	NOUN	سكّر	سكر	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	recha	arabizi	رشّة	رشّة	NOUN_QUANT-NSUFF_FEM_SG	رشة	رشش	/	/	35-50	F
facebook	CJs	20150411	sghira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير	صغر	/	/	35-50	F
facebook	CJs	20150411	9erfa	arabizi	قرفة	قرفة	NOUN-NSUFF_FEM_SG	قرفة	قرف	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	chweya	arabizi	شويّة	شويّة	[NOUN_QUANT]ADV	شويّة	شوي	/	/	35-50	F
facebook	CJs	20150411	9chour	arabizi	قشور	قشور	NOUN	قشرة	قشر	/	/	35-50	F
facebook	CJs	20150411	lim	arabizi	ليم	ليم	NOUN	ليم	ليم	/	/	35-50	F
facebook	CJs	20150411	mer7i	arabizi	مرحي	مرحي	ADJ	مرحي	مرح	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	1	arabizi	1	1	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	asfer	arabizi	اصفر	اصفر	NOUN	اصفر	صفر	/	/	35-50	F
facebook	CJs	20150411	adhma	arabizi	عظمة	عظمة	NOUN-NSUFF_FEM_SG	عظم	عظم	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	mei	arabizi	ما	ما	NOUN	ما	موه	/	/	35-50	F
facebook	CJs	20150411	zhar	arabizi	زهر	زهر	NOUN	زهر	زهر	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	_	arabizi	_	_	PUNC	PUNC	PUNC	/	/	35-50	F
facebook	CJs	20150411	Ch7our	arabizi	شحور	شحور	NOUN	شحور	شحر	/	/	35-50	F
facebook	CJs	20150411	:	arabizi	:	:	PUNC	PUNC	PUNC	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	1	arabizi	1	1	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	kila	arabizi	كيلة	كيلة	NOUN_QUANT-NSUFF_FEM_SG	كيلة	كيل	/	/	35-50	F
facebook	CJs	20150411	mei	arabizi	ما	ما	NOUN	ما	موه	/	/	35-50	F
facebook	CJs	20150411	lilha	arabizi	لها	ل'+ها	PREP'+PRON_3FS	ل	ل	/	/	35-50	F
facebook	CJs	20150411	2	arabizi	2	2	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	kilet	arabizi	كيلات	كيلات	NOUN_QUANT-NSUFF_FEM_PL	كيلة	كيل	/	/	35-50	F
facebook	CJs	20150411	sokir	arabizi	سكر	سكر	NOUN	سكّر	سكر	/	/	35-50	F
facebook	CJs	20150411	wchtar	arabizi	وشطر	و'+شطر	CONJ'+NOUN_QUANT	شطر	شطر	/	/	35-50	F
facebook	CJs	20150411	9arsa	arabizi	قارصة	قارصة	NOUN-NSUFF_FEM_SG	قارص	قرص	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	Tdaweb	arabizi	تذوّب	تذوّب	CV2S-CV	ذوّب	ذوب	/	/	35-50	F
facebook	CJs	20150411	zebda	arabizi	الزبدة	ال'+زبدة	DET'+NOUN-NSUFF_FEM_SG	زبدة	زبد	/	/	35-50	F
facebook	CJs	20150411	wtzidha	arabizi	وتزيدها	و'+تزيد'+ها	CONJ'+CV2S-CV'+CVSUFF_DO:3FS	زاد	زيد	/	/	35-50	F
facebook	CJs	20150411	lil	arabizi	لال	ل'+ال	PREP'+DET	ل	ل	/	/	35-50	F
facebook	CJs	20150411	farina	arabizi	فارينة	فارينة	NOUN-NSUFF_FEM_SG	فارينة	فارين	/	/	35-50	F
facebook	CJs	20150411	m3a	arabizi	مع	مع	PREP	مع	مع	/	/	35-50	F
facebook	CJs	20150411	chweya	arabizi	شويّة	شويّة	[NOUN_QUANT]ADV	شويّة	شوي	/	/	35-50	F
facebook	CJs	20150411	mei	arabizi	ما	ما	NOUN	ما	موه	/	/	35-50	F
facebook	CJs	20150411	werd	arabizi	ورد	ورد	NOUN	ورد	ورد	/	/	35-50	F
facebook	CJs	20150411	welei	arabizi	ولا	ولا	CONJ	ولا	ولا	/	/	35-50	F
facebook	CJs	20150411	zhar	arabizi	زهر	زهر	NOUN	زهر	زهر	/	/	35-50	F
facebook	CJs	20150411	elli	arabizi	اللي	اللي	REL_PRON	اللي	اللي	/	/	35-50	F
facebook	CJs	20150411	3andik	arabizi	عندك	عند'+ك	PREP'+PRON_2S	عند	عند	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	tkhalit	arabizi	تخلط	تخلط	CV2S-CV	خلّط	خلط	/	/	35-50	F
facebook	CJs	20150411	wtlim	arabizi	وتلم	و'+تلم	CONJ'+CV2S-CV	لمّ	لمم	/	/	35-50	F
facebook	CJs	20150411	3jintik	arabizi	عجينتك	عجينة'+ك	NOUN-NSUFF_FEM_SG'+POSS_PRON_2S	عجينة	عجن	/	/	35-50	F
facebook	CJs	20150411	bchweya	arabizi	بشويّة	ب'+شويّة	PREP'+[NOUN_QUANT]ADV	شويّة	شوي	/	/	35-50	F
facebook	CJs	20150411	mei	arabizi	ما	ما	NOUN	ما	موه	/	/	35-50	F
facebook	CJs	20150411	deifi	arabizi	دافي	دافي	ADJ	دافي	دفء	/	/	35-50	F
facebook	CJs	20150411	lin	arabizi	لين	لين	SUB_CONJ	ل	ل	/	/	35-50	F
facebook	CJs	20150411	tit7asel	arabizi	تتحصّل	تتحصّل	IV2S-IV	تحصّل	حصل	/	/	35-50	F
facebook	CJs	20150411	ala	arabizi	على	على	PREP	على	علي	/	/	35-50	F
facebook	CJs	20150411	3jina	arabizi	عجينة	عجينة	NOUN-NSUFF_FEM_SG	عجينة	عجن	/	/	35-50	F
facebook	CJs	20150411	triya	arabizi	تريّة	تريّة	ADJ-NSUFF_FEM_SG	تري	تري	/	/	35-50	F
facebook	CJs	20150411	trata7ha	arabizi	ترتّحها	ترتّح'+ها	CV2S-CV'+CVSUFF_DO:3FS	رتّح	روح	/	/	35-50	F
facebook	CJs	20150411	nosf	arabizi	نصف	نصف	NOUN_QUANT	نصف	نصف	/	/	35-50	F
facebook	CJs	20150411	sei3a	arabizi	ساعة	ساعة	NOUN-NSUFF_FEM_SG	ساعة	سوع	/	/	35-50	F
facebook	CJs	20150411	wba3	arabizi	وبعد	و'+بعد	CONJ'+ADV	بعد	بعد	/	/	35-50	F
facebook	CJs	20150411	kin	arabizi	كان	كان	SUB_CONJ	كان	كون	/	/	35-50	F
facebook	CJs	20150411	3milt	arabizi	عملت	عملت	PV-PVSUFF_SUBJ:3FS	عمل	عمل	/	/	35-50	F
facebook	CJs	20150411	barcha	arabizi	برشا	برشا	ADV	برشا	برش	/	/	35-50	F
facebook	CJs	20150411	t9ossha	arabizi	تقصّها	تقصّ'+ها	CV2S-CV'+CVSUFF_DO:3FS	قصّ	قصص	/	/	35-50	F
facebook	CJs	20150411	k3ibrat	arabizi	كعيبرات	كعيبرات	NOUN-NSUFF_FEM_PL	كعبورة	كعبر	/	/	35-50	F
facebook	CJs	20150411	mitwastin	arabizi	متوسطين	متوسطين	ADJ-NSUFF_MASC_PL	متوسّط	وسط	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	tifrech	arabizi	تفرش	تفرش	CV2S-CV	فرش	فرش	/	/	35-50	F
facebook	CJs	20150411	nchei	arabizi	نشا	نشا	NOUN	نشا	نشش	/	/	35-50	F
facebook	CJs	20150411	3al	arabizi	عال	ع'+ال	PREP'+DET	على	علي	/	/	35-50	F
facebook	CJs	20150411	tawla	arabizi	طاولة	طاولة	NOUN-NSUFF_FEM_SG	طاولة	طول	/	/	35-50	F
facebook	CJs	20150411	wt7il	arabizi	وتحلّ	و'+تحلّ	CONJ'+CV2S-CV	حلّ	حلل	/	/	35-50	F
facebook	CJs	20150411	el3jina	arabizi	العجينة	ال'+عجينة	DET'+NOUN-NSUFF_FEM_SG	عجينة	عجن	/	/	35-50	F
facebook	CJs	20150411	bil	arabizi	بال	ب'+ال	PREP'+DET	ب	ب	/	/	35-50	F
facebook	CJs	20150411	nchei	arabizi	نشا	نشا	NOUN	نشا	نشش	/	/	35-50	F
facebook	CJs	20150411	mdawra	arabizi	مدورة	مدورة	ADJ-NSUFF_FEM_SG	مدوّر	دور	/	/	35-50	F
facebook	CJs	20150411	wr9iii9a	arabizi	ورقيقة	و'+رقيقة	CONJ'+ADJ-NSUFF_FEM_SG	رقيق	رقق	/	/	35-50	F
facebook	CJs	20150411	lin	arabizi	لين	لين	SUB_CONJ	ل	لين	/	/	35-50	F
facebook	CJs	20150411	tweli	arabizi	تولّي	تولّي	IV3FS-IV	ولّى	ولي	/	/	35-50	F
facebook	CJs	20150411	tawla	arabizi	طاولة	طاولة	NOUN-NSUFF_FEM_SG	طاولة	طول	/	/	35-50	F
facebook	CJs	20150411	beyna	arabizi	باينة	باينة	ADJ-NSUFF_FEM_SG	باين	بين	/	/	35-50	F
facebook	CJs	20150411	w9tha	arabizi	وقتها	وقتها	ADV	وقتها	وقت	/	/	35-50	F
facebook	CJs	20150411	tibda	arabizi	تبدا	تبدا	IV3FS-IV	بدا	أبد	/	/	35-50	F
facebook	CJs	20150411	tobrim	arabizi	تبرم	تبرم	IV3FS-IV	برم	برم	/	/	35-50	F
facebook	CJs	20150411	fiha	arabizi	فيها	في'+ها	PREP'+PRON_3FS	في	في	/	/	35-50	F
facebook	CJs	20150411	gholdh	arabizi	غلض	غلض	NOUN	غلض	nan	/	/	35-50	F
facebook	CJs	20150411	zouz	arabizi	زوز	زوز	NOUN_NUM	زوز	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	sweba3	arabizi	صوابع	صوابع	NOUN	صبع	صبع	/	/	35-50	F
facebook	CJs	20150411	lin	arabizi	لين	لين	SUB_CONJ	ل	لين	/	/	35-50	F
facebook	CJs	20150411	tit7asil	arabizi	تتحصّل	تتحصّل	IV2S-IV	تحصّل	حصل	/	/	35-50	F
facebook	CJs	20150411	ala	arabizi	على	على	PREP	على	علي	/	/	35-50	F
facebook	CJs	20150411	mostatil	arabizi	مستطيل	مستطيل	NOUN	مستطيل	طول	/	/	35-50	F
facebook	CJs	20150411	twiil	arabizi	طويل	طويل	ADJ	طويل	طول	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	t9os	arabizi	تقص	تقص	CV2S-CV	قصّ	قصص	/	/	35-50	F
facebook	CJs	20150411	el7weichi	arabizi	الحواشي	ال'+حواشي	DET'+NOUN	حواشي	حشو	/	/	35-50	F
facebook	CJs	20150411	wba3d	arabizi	وبعد	و'+بعد	CONJ'+ADV	بعد	بعد	/	/	35-50	F
facebook	CJs	20150411	t9os	arabizi	تقص	تقص	CV2S-CV	قصّ	قصص	/	/	35-50	F
